STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2009,98.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2011,102.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2012,103.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2013,102.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2014,100.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2015,100.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2016,101.9,p
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2000,59.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2001,57.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2002,57.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2003,62.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2004,72.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2005,87.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2006,100.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2007,111.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2008,144.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2009,129.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2011,88.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2012,81.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2013,78.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2014,81.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2015,74.9,p
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2016,71.4,p
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BG,2017,70.3,p
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,1998,89.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,1999,88.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2000,89.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2001,90.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2002,90.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2003,90.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2004,90.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2005,91.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2006,93.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2007,96.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2008,98.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2009,98.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2011,100.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2012,102.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2013,104.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2014,105.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2015,105.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2016,103.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CH,2017,103.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2000,63.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2001,66.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2002,69.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2003,76.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2004,80.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2005,85.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2006,89.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2007,97.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2008,109.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2009,104.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2011,94.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2012,81.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2013,64.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2014,58.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2015,58.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CY,2016,62.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2000,98.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2001,97.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2002,93.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2003,94.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2004,96.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2005,97.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2006,99.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2007,100.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2008,101.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2009,99.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2011,97.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2012,97.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2013,92.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2014,90.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2015,92.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,CZ,2016,90.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2000,138.2,s
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2001,125.7,s
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2002,115.9,s
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2003,107.2,s
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2004,101.0,s
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2005,94.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2006,94.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2007,96.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2008,96.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2009,98.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2011,103.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2012,104.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2013,105.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2014,107.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2015,107.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2016,108.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DE,2017,109.7,p
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,1995,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,1996,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,1997,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,1998,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,1999,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2000,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2001,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2002,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2003,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2004,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2005,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2006,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2007,,c
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2008,124.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2009,110.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2011,100.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2012,100.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2013,99.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2014,102.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2015,105.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2016,109.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,DK,2017,112.9,p
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,1998,91.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,1999,87.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2000,86.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2001,83.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2002,89.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2003,93.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2004,99.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2005,108.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2006,124.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2007,145.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2008,145.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2009,122.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2011,100.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2012,112.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2013,112.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2014,109.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2015,116.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2016,115.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EE,2017,122.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2000,85.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2001,87.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2002,90.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2003,98.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2004,99.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2005,106.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2006,105.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2007,108.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2008,112.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2009,110.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2011,82.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2012,77.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2013,77.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2014,91.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2015,68.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2016,81.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,EL,2017,85.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2000,104.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2001,113.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2002,120.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2003,127.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2004,136.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2005,142.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2006,154.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2007,163.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2008,149.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2009,114.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2011,85.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2012,70.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2013,62.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2014,60.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2015,65.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2016,65.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,ES,2017,68.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2000,86.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2001,84.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2002,85.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2003,88.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2004,86.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2005,93.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2006,96.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2007,102.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2008,108.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2009,101.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2011,102.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2012,102.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2013,102.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2014,98.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2015,97.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2016,102.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FI,2017,107.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1990,95.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1991,94.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1992,91.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1993,86.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1994,84.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1995,84.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1996,81.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1997,80.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1998,80.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,1999,81.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2000,85.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2001,87.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2002,88.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2003,88.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2004,90.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2005,93.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2006,97.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2007,101.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2008,104.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2009,101.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2011,99.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2012,98.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2013,96.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2014,94.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2015,91.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2016,90.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,FR,2017,90.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,HR,2000,71.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,HR,2001,72.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,HR,2002,79.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,HR,2003,86.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,HR,2004,90.5,
